citing_paper,Author,Affiliation,,,
 A Comparison of OFDM Techniques in Massive MIMO on Data Throughput and Spectral Efficiency in Digital Wireless Communication Systems,Samson Dauda Yusuf,Nasarawa State University,,,
,Lukman Femi Egbebi,Federal Polytechnic,,,
,Sule Idris Isah,Nasarawa State University,,,
 A Tale of Many Networks: Splitting and Merging of Chord-like Overlays in Partitioned Networks,Tobias Amft,"Peopleware, Speditionstra▀e 5, 40221 D³sseldorf, Germany",,,
,Kalman Graffi,"Faculty of Computer Science, Bingen Technical University of Applied Sciences, 55411 Bingen, Germany",,,
 An Idleness-and Failure-Tolerant Pipeline Broadcast Protocol for MPI,Xiuyi Qin,SanJose,,,
 An efficient open-source design and implementation framework for non-quantized CNNs on FPGAs,Angelos Athanasiadis,Aristotle University of Thessaloniki,,,
,Nikolaos Tampouratzis,International Hellenic University,,,
,Ioannis Papaefstathiou,Aristotle University of Thessaloniki,,,
 Analyzing the Impact of Kernel Fusion on GPU Tensor Operation Performance: A Systematic Performance Study,Matija Dodovi?,University of Belgrade,,,
,Milica Veselinovi?,University of Belgrade,,,
,Marko MiÜi?,University of Belgrade,,,
Beyond compensation: A holistic approach to employee retention in the era of remote work and technological change,Shilpa Shinde,Mumbai University,,,
Deep Learning-Based 30-Day Mortality Prediction in Critically Ill Bone and Bone Marrow Metastasis Patients: A Multicenter Retrospective Cohort Study,Yixi Wang,Xinjiang Medical University,,,
,Lintao Xia,Shanghai University of Traditional Chinese Medicine,,,
,Yuqiao Tang,"Northeastern University, Boston",,,
,Wenzhe Li,Xinjiang Medical University,,,
,Jian Cui,The First Affiliated Hospital of Xinjiang Medical University,,,
,Xinkai Luo,The First Affiliated Hospital of Xinjiang Medical University,,,
,Hongyuan Jiang,The First Affiliated Hospital of Xinjiang Medical University,,,
,Yuqian Li,The First Affiliated Hospital of Xinjiang Medical University,,,
Fundamental Blocks for Establishing Secure and Scalable Continual Learning within Contemporary AI Systems,Ghalib Ahmed Tahir,University Malaya,,,
GEMM-ArchProfiler: A simulation framework for hardware-level profiling and performance analysis of General Matrix Multiplication in real CNN workloads on heterogeneous CPU architectures,Binu Ayyappan,Rajagiri School of Engineering & Technology,,,
,G. Santhosh Kumar,Cochin University of Science & Technology,,,
Hierarchical Deep Learning Model for Identifying Similar Targets in UAV Imagery,Dmytro Borovyk,Khmelnytskyi National University,,,
,Oleksander Barmak,Taras Shevchenko National University of Kyiv,,,
,Pavlo Radiuk,V.M. Glushkov Institute of Cybernetics,,,
Improving K-Means Clustering: A Comparative Study of Parallelized Version of Modified K-Means Algorithm for Clustering of Satellite Images,Yuv Raj Pant,South Dakota State University,,,
,Larry Leigh,South Dakota State University,,,
,Juliana Fajardo Rueda,South Dakota State University,,,
New techniques for the Reliability Evaluation of AI-oriented Hardware Accelerators,Robert Alexander Limas Sierra,Politecnico di Torino,,,
"On Bayesian Methods for Black-Box Optimization: Efficiency, Adaptation and Reliability",Yunchuan Zhang,King's College London,,,
The prediction of the resistant starch production using transformer-based deep learning models,Maryam Mousavifard,Fasa University,,,
,Mehran Sayadi,Fasa University of Medical Sciences,,,
,Elahe Abedi,Fasa University,,,
,Seyed Mohammad Bagher Hashemi,Fasa University,,,
Verwendungsnachweis DaREXA-F Teil II,Diego JimenĶz,Max Planck Computing and Data Facility,,,
,Tilman Dannert,Max Planck Computing and Data Facility,,,
,Erwin Laure,Max Planck Computing and Data Facility,,,
" What to Support when You're Compressing: The State of Practice, Gaps, and Opportunities for Scientific Data Compression",Franck Cappello,Argonne National Laboratory,,,
,Robert Underwood,University of Chicago,,,
,Yuri Alexeev,Argonne National Laboratory,,,
,Alison Baker,National Center for Atmospheric Research,,,
,Ebru Bozda?,Colorado School of Mines,,,
,Martin Burtscher,Texas State University,,,
,Kyle Chard,University of Chicago,,,
,Sheng Di,University of Chicago,,,
,Kyle Gerard Felker,Argonne National Laboratory,,,
,Paul Christopher OÆGrady,SLAC National Accelerator Laboratory,,,
,Hanqi Guo,Ohio State University,,,
,Yafan Huang,University of Iowa,,,
,Peng Jiang,University of Iowa,,,
,Sian Jin,Temple University,,,
,Petter Johansson,KTH Royal Institute of Technology,,,
,Shaomeng Li,NVIDIA Corporation,,,
,Xin Liang,University of Kentucky,,,
,Erik Lindahl,Stockholm University,,,
,Peter Lindstrom,Lawrence Livermore National Laboratory,,,
,Zarija Luki?,Lawrence Livermore National Laboratory,,,
,Magnus Lundborg,KTH Royal Institute of Technology,,,
,Danylo Lykov,NVIDIA Corporation,,,
,Masaru Nagaso,RIKEN Center for Computational Science,,,
,Kento Sato,RIKEN Center for Computational Science,,,
,Amarjit Singh,RIKEN Center for Computational Science,,,
,Seung Woo Son,UMass Lowell,,,
,Shihui Song,University of Iowa,,,
,William Tang,Princeton Plasma Physics Laboratory,,,
,Dingwen Tao,Indiana University,,,
,Jiannan Tian,University of Kentucky,,,
,Kazutomo Yoshii,Argonne National Laboratory,,,
,Kai Zhao,Florida State University,,,
A Federated Learning-based Aflatoxin M1 Prediction Model Under a Data Enhancement Strategy,Long Wang,"Jiangnan University, Wuxi, China",,,
,Xiaodong Song,"State Administration for Market Regulation, Huhehaote",,,
,Haohan Ding,"Jiangnan University, Wuxi, China",,,
,Xiaohui Cui,"Wuhan University, Wuhan",,,
,David I. Wilson,Auckland University of Technology,,,
,Wei Yu,University of Auckland,,,
,Yinghao Yang,"Jiangnan University, Wuxi, China",,,
,Guanjun Dong,"State Administration for Market Regulation, Huhehaote",,,
A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,Shihui Song,University of Iowa,,,
,Robert Underwood,University of Chicago,,,
,Sheng Di,University of Chicago,,,
,Yafan Huang,University of Iowa,,,
,Peng Jiang,University of Iowa,,,
,Franck Cappello,Argonne National Laboratory,,,
A Perpetual Compression Scheme for Delay Tolerant Communication,Sanku Kumar Roy,University of Alberta,,,
,Ioanis Nikolaidis,University of Alberta,,,
A greedy consensus-based approach to distributed job selection: toward fully-decentralized workload management system,Komal Thareja,The University of North Carolina at Chapel Hill,,,
,Krishnan Raghavan,Argonne National Laboratory,,,
,Anirban Mandal,The University of North Carolina at Chapel Hill,,,
,Pawe? ?uk,University of Southern California,,,
,Imtiaz Mahmud,Lawrence Berkeley National Laboratory,,,
,Mariam Kiran,Oak Ridge National Laboratory,,,
,Ewa Deelman,University of Southern California,,,
A hybrid PCA-PR-Seq2Seq-Adam-LSTM framework for time-series power outage prediction,Subhabrata Das,Columbia University,,,
,Bodruzzaman Khan,Sylhet Agricultural University ,,,
,Xiaoyang Liu,Columbia University,,,
A survey on error-bounded lossy compression for scientific datasets,Sheng Di,Argonne National Laboratory,,,
,Jinyang Liu,University of Houston,,,
,Jinyang Liu,Shanghai Jiao Tong University,,,
,Kai Zhao,Florida State University,,,
,Xin Liang,University of Kentucky,,,
,Xin Liang,Oregon State University,,,
,Robert Underwood,Argonne National Laboratory,,,
,Zhaorui Zhang,The Hong Kong Polytechnic University,,,
,Milan Shan,North Carolina State University at Raleigh,,,
,Yafan Huang,University of Iowa,,,
,Yafan Huang,University of Maryland College Park,,,
,Jiajun Huang,University of South Florida,,,
,Xiaodong Yu,Stevens Institute of Technology,,,
,Congrong Ren,The Ohio State University,,,
,Hanqi Guo,The Ohio State University,,,
,Grant Wilkins,University of Cambridge,,,
,Dingwen Tao,Indiana University,,,
,Jiannan Tian,Indiana University,,,
,Sian Jin,Temple University,,,
,Zizhe Jian,"University of California, Riverside",,,
,Daoce Wang,Indiana University,,,
,Md Hasanur Rahman,University of Iowa,,,
,Boyuan Zhang,Indiana University,,,
,Shihui Song,University of Iowa,,,
,Jon Calhoun,Clemson University,,,
,Guanpeng Li,University of Iowa,,,
,Guanpeng Li,University of Florida,,,
,Kazutomo Yoshii,Argonne National Laboratory,,,
,Khalid Alharthi,University of Bihac,,,
,Franck Cappello,Argonne National Laboratory,,,
AI-optimized GRU-based self-attention model for predictive diabetes staging in IoT healthcare 5.0,Liang Zhou,Shanghai University of Medicine and Health Sciences,,,
,Brij B. Gupta,Asia University,,,
,Akshat Gaurav,Ronin Institute,,,
,Razaz Waheeb Attar,Princess Nourah bint Abdulrahman University,,,
,Ahmed Alhomoud,Northern Border University,,,
,Varsha Arya,Hong Kong Metropolitan University,,,
,Ching-Hsien Hsu,Asia University,,,
Adaptive soft error protection for neural network processing,Xinghua Xue,"Hangzhou Institute for Advanced Study, University of Chinese Academy of Sciences",,,
,Cheng Liu,Chinese Academy of Sciences,,,
,Feng Min,"Institute of Computing Technology, Chinese Academy of Sciences",,,
,Hui Li,Jinan Inspur Data Technology Co Ltd,,,
,Kai Zhang,Jinan Inspur Data Technology Co Ltd,,,
,Yinhe Han,"Institute of Computing Technology, Chinese Academy of Sciences",,,
ApproxABFT: Approximate Algorithm-Based Fault Tolerance for Neural Network Processing,Xinghua Xue,"Hangzhou Institute for Advanced Study, University of Chinese Academy of Sciences",,,
,Cheng Liu,Chinese Academy of Sciences,,,
,Feng Min,"Institute of Computing Technology, Chinese Academy of Sciences",,,
,Tao Luo,"Institute of High Performance Computing, A*STAR, Singapore",,,
,Yinhe Han,"Institute of Computing Technology, Chinese Academy of Sciences",,,
Architectural-Aware Performance Optimization: From the Foundational Math Library to Cutting-Edge Applications,Yujia Zhai,NVIDIA Corporation,,,
AttnBoost: Retail Supply Chain Sales Insights via Gradient Boosting Perspective,Yadi Liu,Nanyang Technological University,,,
,Xiaoli Ma,Washington State University,,,
,Muxin Ge,Southern Methodist University,,,
,Zeyu Han,Georgetown University,,,
,Jingxi Qiu,Georgetown University,,,
,Ye Aung Moe,University of Nebraska-Lincoln,,,
,Yilan Shen,China Construction Bank,,,
,Wenbin Wei,Nanyang Technological University,,,
,Cheng Huang,Southern Methodist University,,,
Attn-BiGRU: Angular-Aware Attention With Curriculum Learning for Adaptive Beamforming,Ridha Ilyas Bendjillali,University Center Nour Bachir,,,
,Mohammed Sofiane Bendelhoum,University Center Nour Bachir,,,
,Miloud Kamline,Tahri Mohammed University,,,
,Asma Ouardas,University Center Nour Bachir,,,
,Mohamed Rida Lahcene,Salhi Ahmed University Center,,,
,Fadila Amel Miloudi,University Center Nour Bachir,,,
Automatic Parameter Tuning for CUTLASS Matrix Multiplication Based on Multi-Task Learning with DSSM,Shiyu Wang,Zhengzhou University,,,
,Xin Zhou,"Dawning Information Industry (Beijing) Co., Ltd",,,
,Jianpeng Sun,"Dawning Information Industry (Beijing) Co., Ltd",,,
BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,Boyuan Zhang,Indiana University,,,
,Bo Fang,Pacific Northwest National Laboratory,,,
,Fanjiang Ye,Indiana University,,,
,Luanzheng Guo,Pacific Northwest National Laboratory,,,
,Fengguang Song,Indiana University,,,
,Nathan Tallent,Pacific Northwest National Laboratory,,,
,Dingwen Tao,Indiana University,,,
Beating vDSP: A 138 GFLOPS radix-8 Stockham FFT on Apple Silicon via two-tier register-threadgroup memory decomposition,Mohamed Amine BERGACH,Illumina Inc,,,
Benchmarking Cutting-Edge Scientific Error-Bounded Lossy Compressors on Correlation-Based Rate-Distortion,Ziwei Qiu,University of Houston,,,
,Jinyang Liu,University of Houston,,,
,Kai Zhao,Florida State University,,,
,Robert Underwood,Argonne National Laboratory,,,
,Sheng Di,Argonne National Laboratory,,,
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,Shixun Wu,"University of California, Riverside",,,
,Jinwen Pan,Technical University of Munich,,,
,Jinyang Liu,University of Houston,,,
,Jiannan Tian,"Oakland University, Rochester, Michigan",,,
,Ziwei Qiu,University of Houston,,,
,Jiajun Huang,University of South Florida,,,
,Kai Zhao,Florida State University,,,
,Xin Liang,University of Kentucky,,,
,Sheng Di,Argonne National Laboratory,,,
,Zizhong Chen,"University of California, Riverside",,,
,Franck Cappello,Argonne National Laboratory,,,
CCL-D: A High-Precision Diagnostic System for Slow and Hang Anomalies in Large-Scale Model Training,,"University of Chinese Academy of Sciences, Beijing, China",,,
,,Ant Group,,,
COCCL: A Collective Communication Library Supporting Easy Integration and Configuration of Customized Compression for Scalable LLM Training,,"Shenzhen Loop Area Institute The Chinese University of Hong Kong, Shenzhen",,,
,,Jilin University,,,
,,"University of Chinese Academy of Sciences Beijing, China",,,
,,Ant Group,,,
CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,,,,,
Checkpointing fine-tuning for accelerating seismic applications in GPUs,,"
Instituto de ComputańŃo - Universidade Estadual de Campinas",,,
,,Para Federal University,,,
,,INCT-Petroleum Geophysics,,,
Classical simulation of quantum circuits: Parallel environments and benchmark,,Rensselaer Polytechnic Institute,,,
,,Columbia University,,,
,,Rochester University,,,
Data reuse and locality optimization method based on GEMM,,XiÆan University of Posts and Telecommunications ,,,
Decentralized learning based on gradient coding with compressed communication,,KTH Royal Institute of Technology,,,
DeepCQ: General-Purpose Deep-Surrogate Framework for Lossy Compression Quality Prediction,,University of North Carolina at Charlotte,,,
,,Argonne National Laboratory,,,
,,University of Delaware,,,
,,Lawrence Berkeley National Laboratory,,,
Delta-Attention-Based Deep Learning Model for Diabetes Prediction in Consumer Health Monitoring Systems,,Hong Kong Metropolitan University,,,
,,Asia University,,,
,,University of Ulster,,,
,,Hong Kong Metropolitan University,,,
,,VIZJA University,,,
,,Symbiosis International (Deemed University),,,
Design and Implementation of High Reliability Heterogeneous Software Architecture Based on SoC Chip,,Shanghai Aerospace Electronic Technology Institute,,,
Dgro: diameter-guided ring optimization for integrated research infrastructure membership,,,,,
EXaCTz: Guaranteed Extremum Graph and Contour Tree Preservation for Distributed-and GPU-Parallel Lossy Compression,,University of Utah,,,
,,Ohio State University,,,
,,Oregon State University,,,
Early Prediction of Pathologic Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Based on Multimodal Ultrasound and Pathological Image,,University of Shanghai for Science and Technology,,,
,,Shanghai Jiao Tong University,,,
Enabling Homomorphic Analytical Operations on Compressed Scientific Data with Multi-stage Decompression,,,,,
Enabling the Use of Approximate Memories in Quantized Large Language Models (LLMs): Dealing with Errors on the Scaling Factors,,Tianjin University,,,
,,"Information Processing and Telecommunications Center (IPTC), Escuela Tķcnica Superior de IngenierĒa de Telecomunicaci¾n, Universidad Politķcnica de Madrid",,,
,,University of Electronic Science and Technology,,,
,,Northeastern University,,,
Error bounded compression for weather and climate applications,,ETH Zurich,,,
,,University of Cambridge,,,
,,"Microsoft Iberica, Madrid, Spain",,,
Error resilient transformers: A novel soft error vulnerability guided approach to error checking and suppression,,"Rebellions Inc., Seongnam-si, Republic of Korea",,,
,,"Google, Mountain View",,,
,,"Georgia Institute of Technology, Atlanta",,,
Error-controlled progressive retrieval of scientific data under derivable quantities of interest,,New Jersey Institute of Technology,,,
,,University of Kentucky,,,
,,Oak Ridge National Laboratory,,,
Extreme Error-bounded Compression of Scientific Data via Temporal Graph Autoencoders,,King Abdullah University of Science and Technology,,,
,,"University of the Peloponnese, Tripoli, Greece",,,
FLARE: A Dataflow-Aware and Scalable Hardware Architecture for Neural-Hybrid Scientific Lossy Compression,,"University of Texas, Arlington",,,
,,Texas A&M University,,,
,,Temple University,,,
FORS: fault-adaptive optimized routing and scheduling for DAQ networks,,"University ofĀStrasbourg, Strasbourg, France",,,
,,"European Council forĀNuclear Research (CERN), Geneva, Switzerland",,,
,,"UCLouvain, Ottignies?Louvain?la?Neuve, Belgium",,,
FSFDLLM: Financial Statement Fraud Detection Aided by Large Language Models,,XiÆan Jiaotong University,,,
,,"Griffith University, Brisbane, Australia",,,
FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention,,,,,
FZModules: A Heterogeneous Computing Framework for Customizable Scientific Data Compression Pipelines,,Indiana University,,,
,,Oakland University,,,
From 8 seconds to 370ms: Kernel-fused SAR imaging on Apple Silicon via single-dispatch FFT pipelines,,Illumina,,,
Ft k-means: A high-performance k-means on gpu with fault tolerance,,,,,
Ft-blas: A fault tolerant high performance blas implementation on x86 cpus,,,,,
Ft-gemm: A fault tolerant high performance gemm implementation on x86 cpus,,,,,
GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast,,,,,
Graphcomp: Extreme error-bounded compression of scientific data via temporal graph autoencoders,, King Abdullah University of Science and Technology,,,
,,"University of Peloponnese, Tripoli",,,
Gwlz: A group-wise learning-based lossy compression framework for scientific data,,"Brooklyn College, CUNY",,,
,,University of Georgia,,,
,,University of Texas at Arlington,,,
,,Indiana University,,,
HALO: Hybrid Systolic Arrays via Logical Partitioning for Acceleration of Complex-Valued Neural Networks,,Ewha Womans University,,,
,,Korea University,,,
High speed simulation methods for multimode optical devices,,University of Southampton,,,
IPComp: Interpolation Based Progressive Lossy Compression for Scientific Applications,,,,,
Impact of MAC Unit Design Architectures and Their Applications in Modern Computing: An In-Depth Review,,"University of Oulu, Oulu 90570, Finland",,,
ImplicitTerrainV2: Wavelet-Guided Spatially Adaptive Neural Terrain Representation,,"University of Maryland, College Park",,,
Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,,,,,
K-spin ising model for combinatorial optimizations over graphs: A reinforcement learning approach,,,,,
LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,,,,,
LLM-IARE: An Input-Aware Resilience Estimation Methodology for LLMs under Hardware Transient Faults,,Shanghai Maritime University,,,
LLMComp: A Language Modeling Paradigm for Error-Bounded Scientific Data Compression,,"University of Peloponnese
Tripoli",,,
,, King Abdullah University of Science and Technology,,,
Lightweight AI-Enhanced Intrusion Detection System for Zero-Day Threat Detection in Consumer Electronics Devices,,,,,
Lightweight Algorithm-Based Fault Tolerance (ABFT) for Resilient Machine Learning Systems,,Beijing University of Posts and Telecommunications,,,
,,University of Chinese Academy of Sciences,,,
,," Institute of Computing Technology, Chinese Academy of Sciences",,,
Lightweight CNN-Based Artifact Reduction for Scientific Error-bounded Lossy Compression,,,,,
Long-Term Prediction of Yarn Quality Characteristics Based on Neural Networks and Transfer Learning,,Zhengzhou University of Light Industry,,,
Lossy Compression of Scientific Data: Applications Constrains and Requirements,,Stanford University,,,
,,UMass Lowel,,,
Lundisim: Model Meshes for Flow Simulation and Scientific Data Compression Benchmarks,,"IFP Energies Nouvelles, Rueil-Malmaison, France ",,,
,,"Universitķ C¶te d'Azur, CNRS, I3S, Sophia Antipolis,ĀFrance",,,
MGPU-FI: A Fault Injection Framework for Reliability Analysis of Multi-GPU System,, Jilin University,,,
MambaWDC: Efficient Weather Data Compression via Selective State Space Model,,Nanjing University of Information Science and Technology,,,
,,Zhejiang Gongshang University,,,
,,"Metax Research Institute, Nanjing, China",,,
MemSens: Significantly Reducing Memory Overhead in Adjoint Sensitivity Analysis Using Novel Error-Bounded Lossy Compression,,China University of Petroleum-Beijing,,,
,,Zhejiang University,,,
Meteora: Multiple-tasks embedded lora for large language models,,Nanjing University,,,
Minimized Mainlobe Width Beamforming Based on Sparse Optimization,,"Heilongjiang University, Harbin, China",,,
Multi-fidelity Bayesian optimization with across-task transferable max-value entropy search,,KingÆs College London,,,
NeurLZ: An Online Neural Learning-Based Method to Enhance Scientific Lossy Compression,,,,,
Not All Errors Are Equal: A Systematic Study of Error Propagation in Large Language Model Inference,,,,,
Optimization and Learning Algorithms for Classical and Quantum Signal Processing,,Columbia University,,,
PRISM: An Efficient GPU-Based Lossy Compression Framework for Progressive Data Retrieval with Multi-Level Interpolation,,,,,
Parallelized 0/1 Knapsack Algorithm Optimization in CPU-GPU-Based Heterogeneous System with Algorithm-based Fault Tolerance,,University of Dhaka,,,
Prediction model for compressive strength of high-performance concrete based on feature Tokenizer transformer and integrated optimization mechanisms,,Tsinghua University,,,
Pushing the limits of GPU lossy compression: A hierarchical delta approach,,,,,
QPET: A Versatile and Portable Quantity-of-Interest-Preservation Framework for Error-Bounded Lossy Compression,,,,,
RNN beamforming optimizer for rate-splitting multiple access and cell-free massive MIMO,,,,,
RetryTrigger: intelligent inference duplication for enhancing LLM resilience to hardware transient faults,,Shanghai Maritime University,,,
SCORPIO: A Parallel I/O library for Exascale Earth System Models,,,,,
SEVI: Silent Data Corruption of Vector Instructions in Hyper-Scale Datacenters,,Carnegie Mellon University,,,
,,Meta Platforms Inc.,,,
SSFFT: Energy-Efficient Selective Scaling for Fast Fourier Transform in Embedded GPUs,,Korea University,,,
STZ: A High Quality and High Speed Streaming Lossy Compression Framework for Scientific Data,,Univ of Nebraska Omaha,,,
,,Los Alamos National Lab,,,
SWARM+: Scalable and Resilient Multi-Agent Consensus for Fully-Decentralized Data-Aware Workload Management,,,,,
SWARM: Reimagining scientific workflow management systems in a distributed world,,,,,
"Scalable Frameworks for Evolving Graph Analytics: Acceleration, Indexing, and Sampling Through Temporal Reuse",,,,,
Semi-Amortized Encoder-Decoder Network for Beamforming Over Sparse Large-Scale MIMO Channels,,,,,
Shifting between compute and memory bounds: A compression-enabled roofline model,,University of Washington,,,
Smart scheduling and routing for data acquisition networks,,Universitķ de Strasbourg,,,
Summary Statistics of Large-scale Model Outputs for Observation-corrected Outputs,,National Renewable Energy Laboratory,,,
Synergistic Deep Learning Framework for Forecasting Power Outages,,JPMorgan Chase,,,
,,Sylhet Agricultural University,,,
Szops: Scalar operations for error-bounded lossy compressor for scientific data,,,,,
Task-Adaptive Scientific Error-Bounded Lossy Compression,,,,,
The (r) evolution of scientific workflows in the agentic ai era: Towards autonomous science,,,,,
Tight Lower Bounds on The Single-Error Detection Threshold for Analog Error-Correcting Codes,,"Central Research Institute, 2012 Labs, Huawei Tech. Co. Ltd",,,
,,Tsinghua University,,,
,, Shenzhen University of Advanced Technology ,,,
Time-varying Vector Field Compression with Preserved Critical Point Trajectories,,,,,
TopcDB: Two-Phase Compactable Lossy Compression for Timeseries Databases,,University of Science and Technology of China,,,
Toward Efficient and Scalable Scientific Data Management through Quality-oriented Data Compression,,,,,
Transformer-based Scalable Beamforming Optimization via Deep Residual Learning,,Columbia University,,,
Tspsz: An efficient parallel error-bounded lossy compressor for topological skeleton preservation,,,,,
Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,,,,,
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,,,,,
UTOPIA: Unlearnable Tabular Data via Decoupled Shortcut Embedding,,University of Electronic Science and Technology of China,,,
,,University of Science and Technology of China,,,
,,Nanyang Technological University,,,
Unsupervised Incremental Learning Using Confidence-Based Pseudo-Labels,,"Thales, cortAIx Labs",,,
"VEUGM: Verifiable, Efficient and Universal GPU Performance Measurement in the Cloud",,Zhejiang University of Technology  ,,,
,,University of Science and Technology Beijing  ,,,
Variable rate neural compression for sparse detector data,,Brookhaven National Laboratory,,,
,,"University of California, Los Angeles",,,
,,Stony Brook University,,,
,,Texas A&M University,,,
ZCCL: Significantly improving collective communication with error-bounded lossy compression,,The Hong Kong Polytechnic University,,,
,, University Of Bisha,,,
[BOOK][B] GPU-Accelerated Error-Bounded Lossy Compression for Scientific Data Toward Exascale Computing,,,,,
[BOOK][B] ZCCL: Advancing Exascale Collective Communications with Co-Designed Compression,,,,,
[CITATION][C] Session Summary Podcast: Session 15: Machine Learning: Methods,,,,,
"[CITATION][C] Session Summary Podcast: Session 17: Anomaly Detection, Failure Management, and Resilience 1",,,,,
[CITATION][C] Session Summary Podcast: Session 33: Compression and Data Reduction 2,,,,,
cuhpx: Gpu-accelerated differentiable spherical harmonic transforms on healpix grids,,,,,
ghzccl: Advancing gpu-aware collective communications with homomorphic compression,,,,,
gzccl: Compression-accelerated collective communication framework for gpu clusters,,,,,
hzccl: Accelerating collective communication with co-designed homomorphic compression,,,,,
lsCOMP: Efficient Light Source Compression,,,,,
{FlexPipe}: Maximizing training efficiency for transformer-based models with {Variable-Length} inputs,,,,,
ķØóÕÉæÕż¦Ķ¦äµ©Ī DNN Ķ«Łń╗āÕ£║µÖ»ńÜäÕ«╣ķöÖµŖĆµ£»ń╗╝Ķ┐░.,,,,,
